"surname","count","pctwhite","pctblack","pctapi","pcthispanic","pctothers"
"CULLEY",3273,84.36,9.93,0.31,1.92,3.48
"SHAIKH",3273,5.26052605260526,0.7000700070007,82.8982898289829,1.37013701370137,9.77097709770977
"BORK",3272,96.12,0.58,0.4,1.28,1.62
"THIBEAULT",3272,97.37,0.109999999999999,0.24,1.31,0.969999999999999
"STOLZ",3271,96.5196519651965,0.34003400340034,0.76007600760076,1.13011301130113,1.25012501250125
"RAMSDELL",3270,94.5205479452055,1.06989301069893,0.42995700429957,1.40985901409859,2.56974302569743
"TEDFORD",3270,90.1590159015902,7.37073707370737,0.21002100210021,1.1001100110011,1.16011601160116
"DAVES",3269,83.88,11.93,0.24,1.9,2.05
"NOTO",3269,94.31,0.46,1.56,2.63,1.04
"POULSON",3269,87.21,9.88,0.46,0.98,1.47
"ALTIERI",3268,93.76,0.55,0.28,4.71,0.7
"GRAFTON",3268,87.91,9.06,0.18,1.5,1.35
"HARTLINE",3268,96.45,0.229999999999997,0.229999999999997,1.44,1.65
"KISNER",3268,94.9105089491051,1.86981301869813,0.33996600339966,1.03989601039896,1.83981601839816
"MENDOSA",3268,6.12,0.76,1.25,91.06,0.810000000000002
"REMY",3268,62.6337366263374,27.5072492750725,0.85991400859914,3.48965103489651,5.50944905509449
"ANSARI",3267,29.1429142914291,7.59075907590759,49.95499549955,1.53015301530153,11.7811781178118
"CRIPE",3267,96.8103189681032,0.27997200279972,0.27997200279972,1.4998500149985,1.12988701129887
"HARTFIELD",3267,42.3642364236424,53.7553755375538,0.21002100210021,1.22012201220122,2.45024502450245
"MULVANEY",3267,95.7704229577042,0.72992700729927,0.3999600039996,1.92980701929807,1.16988301169883
"SHER",3267,90.08,0.64,6.37,0.86,2.05
"WATHEN",3266,94,2.63,0.34,1.9,1.13
"WHITTON",3266,94.73,1.9,0.37,1.29,1.71
"EISELE",3265,96.6396639663966,0.18001800180018,0.64006400640064,1.16011601160116,1.38013801380138
"HINOJOS",3265,6.16,0.104999999999997,0.104999999999997,92.68,0.95
"BACKER",3264,91.67,4.47,0.52,1.5,1.84
"SCHUETZ",3264,96.94,0.215000000000003,0.55,1.19,1.105
"SPEAKS",3264,62.8937106289371,31.1568843115688,0.45995400459954,1.77982201779822,3.70962903709629
"MARCOS",3263,24.06,0.89,16.21,55.59,3.25
"MASK",3263,74.6274627462746,20.8420842084208,0.43004300430043,1.65016501650165,2.45024502450245
"NOVOA",3263,8.24,0.31,0.4,90.53,0.52
"OBOYLE",3263,97.3,0.0500000000000043,0.31,1.16,1.18
"KIRCHER",3262,96.2996299629963,0.58005800580058,0.49004900490049,1.41014101410141,1.22012201220122
"STANG",3262,94.42,1.35,1.81,1.35,1.07
"SCALA",3261,95.8,0.105000000000004,0.43,2.61,1.055
"SIBERT",3261,76.42,19.78,0.21,1.63,1.96
"HALVORSEN",3260,95.58,0.0949999999999989,0.67,2.06,1.595
"HENDON",3260,76.38,18.31,0.25,1.66,3.4
"MONTALBANO",3260,95.12,0.159999999999997,0.58,2.85,1.29
"ZACARIAS",3260,5.31,0.61,2.98,90.28,0.82
"ZERMENO",3260,5.09,0.125,0,94.26,0.525
"BINION",3259,55.6844315568443,39.3660633936606,0.70992900709929,1.28987101289871,2.94970502949705
"GRAMS",3259,96.2203779622038,0.88991100889911,0.36996300369963,1.1998800119988,1.31986801319868
"HORNBERGER",3259,96.2203779622038,1.22987701229877,0.27997200279972,1.22987701229877,1.03989601039896
"VANCAMP",3259,96.81,0.52,0.64,0.86,1.17
"DEWALD",3258,97.36,0.15,0.37,0.92,1.2
"RIVES",3258,77.01,11.23,0.37,10.22,1.17
"SANKEY",3258,67.0632936706329,28.3271672832717,0.67993200679932,0.7999200079992,3.12968703129687
"KLEINMAN",3257,96.87,0.25,0.4,1.72,0.76
"FALCONER",3256,76.047604760476,18.5518551855186,0.49004900490049,2.000200020002,2.91029102910291
"RUMPH",3256,34.98,62.78,0.140000000000001,1.04,1.06
"DEPASQUALE",3255,96.87,0.0399999999999991,0.22,2.12,0.749999999999999
"GAMINO",3255,7.31,0.170000000000002,1.84,90.02,0.660000000000002
"MATUS",3255,51.18,0.4,0.71,41.29,6.42
"OLMSTED",3255,96.59,0.289999999999999,0.74,1.17,1.21
"SPINNER",3255,74.6125387461254,22.027797220278,0.21997800219978,1.07989201079892,2.05979402059794
"SWETT",3255,90.48,3.5,0.46,1.2,4.36
"ABSHER",3254,96,0.43,0.34,1.17,2.06
"CULLER",3254,82.24,15.03,0.28,1.04,1.41
"FRYMAN",3253,96.56,1.01,0.0899999999999963,1.05,1.29
"CARLYLE",3252,82.38,12.64,0.46,1.29,3.23
"LAMPERT",3252,96.19,0.98,0.43,0.92,1.48
"CHOUINARD",3251,96.46,0.110000000000007,0.46,1.6,1.37000000000001
"DUNAGAN",3251,91.42,4.58,0.8,1.66,1.54
"TERRANOVA",3251,94.09,0.25,0.125,4.49,1.045
"WESOLOWSKI",3251,96.89,0.229999999999997,0.4,1.02,1.46
"HETHERINGTON",3250,92.71,3.69,0.52,1.48,1.6
"SCALISE",3250,95.78,0.185000000000002,0.34,2.71,0.985000000000002
"JOUBERT",3249,55.6144385561444,34.3165683431657,0.30996900309969,6.95930406959304,2.7997200279972
"MARCANO",3249,9.2009200920092,9.42094209420942,0.18001800180018,79.4479447944795,1.75017501750175
"PENDERGAST",3249,94.68,2.43,0.43,1.51,0.95
"SCHELLER",3248,95.84,0.25,0.77,1.51,1.63
"LENOIR",3247,39.8839883988399,52.2952295229523,0.15001500150015,1.54015401540154,6.13061306130613
"WHISENHUNT",3247,90.7390739073907,2.49024902490249,0.15001500150015,1.85018501850185,4.77047704770477
"MAHAR",3246,93.41,0.4,2.59,1.05,2.55
"PECORARO",3246,96.09,0.0899999999999963,0.31,2.19,1.32
"VANLANDINGHAM",3246,90.2909709029097,5.60943905609439,0.45995400459954,2.12978702129787,1.50984901509849
"YOU",3246,3.39,0.369999999999997,92.14,0.8,3.3
"DAUM",3244,95.99,0.77,0.59,1.45,1.2
"EDDINGTON",3244,72.5,23.49,0.28,1.42,2.31
"NATIVIDAD",3244,4.87,0.71,40.41,50.59,3.42
"PENICK",3244,77.62,18,0.4,1.39,2.59
"DELEO",3243,92.6992699269927,0.49004900490049,0.65006500650065,4.44044404440444,1.72017201720172
"SANTUCCI",3243,95.53,0.200000000000003,0.43,2.78,1.06
"SOLTIS",3243,96.8296829682968,0.52005200520052,0.68006800680068,1.23012301230123,0.74007400740074
"COSTANZA",3242,93.3606639336066,0.21997800219978,0.36996300369963,4.999500049995,1.04989501049895
"FARLOW",3242,86.12,11.32,0.37,0.83,1.36
"HINER",3242,92.6,2.75,0.52,1.45,2.68
"DUPREY",3241,81.2618738126187,2.95970402959704,0.24997500249975,13.978602139786,1.54984501549845
"FANN",3241,76.98,15.37,4.47,1.23,1.95
"HARTSOCK",3241,96.2096209620962,0.37003700370037,0.46004600460046,1.33013301330133,1.63016301630163
"SAFFORD",3241,71.6728327167283,23.8776122387761,0.27997200279972,1.2998700129987,2.86971302869713
"MURTHA",3240,93.8206179382062,0.8999100089991,0.55994400559944,3.20967903209679,1.50984901509849
"CHIEN",3239,3.27032703270327,0.37003700370037,93.4993499349935,0.46004600460046,2.4002400240024
"DEVERA",3239,11.76,0.200000000000003,75.86,6.39,5.79
"FESSLER",3239,97.16,0.28,0.37,1.23,0.96
"PAYNTER",3239,88.92,6.42,0.52,1.95,2.19
"BOLTZ",3238,96.14,0.31,0.31,1.42,1.82
"HOELSCHER",3238,95.4995499549955,0.28002800280028,0.46004600460046,1.48014801480148,2.28022802280228
"DEACON",3237,90.8809119088091,3.98960103989601,0.58994100589941,1.10988901109889,3.42965703429657
"LOO",3237,8.53,0.18,75.97,8.5,6.82
"DILORENZO",3236,95.55,0.125,0.65,2.75,0.925
"ENOCH",3236,57.42,37.98,0.68,0.77,3.15
"MIRZA",3234,20.87,0.65,63.51,1.67,13.3
"SAVILLE",3234,95.5704429557044,0.55994400559944,0.45995400459954,2.1997800219978,1.20987901209879
"TAKACS",3233,96.3596359635964,0.15001500150015,0.46004600460046,1.95019501950195,1.08010801080108
"DREXLER",3232,93.41,2.91,0.65,2.04,0.99
"LAKIN",3232,92.51,3.62,0.34,1.76,1.77
"ESTEVES",3231,43.24,1.92,5.69,46.3,2.85
"GERAGHTY",3231,96.6,0.25,0.43,1.39,1.33
"LLANES",3231,8.57,0.185000000000002,12.69,76.45,2.105
"WIDMER",3231,96.78,0.31,0.56,1.39,0.96
"CERNY",3230,96.7906418716257,0.18996200759848,0.529894021195761,1.45970805838832,1.02979404119176
"HARGRAVES",3230,76.4923507649235,19.5680431956804,0.21997800219978,1.91980801919808,1.7998200179982
"QUIST",3230,93.72,3.5,0.305,0.99,1.485
"ALDERETE",3229,8.73,0.219999999999999,0.219999999999999,90,0.83
"CHAPPLE",3229,59.6140385961404,35.956404359564,0.33996600339966,2.03979602039796,2.04979502049795
"TARTER",3229,91.970802919708,4.11958804119588,0.24997500249975,1.48985101489851,2.16978302169783
"TOMA",3229,72.6572657265727,0.46004600460046,16.5716571657166,2.88028802880288,7.43074307430743
"BATEY",3228,75.4075407540754,19.6719671967197,0.62006200620062,1.73017301730173,2.57025702570257
"CLYMER",3228,95.42,1.3,0.34,1.36,1.58
"MICHELSON",3228,94.95,0.56,0.265000000000001,2.29,1.935
"SEALEY",3228,57.81,32.81,0.34,5.48,3.56
"COURVILLE",3227,94.7094709470947,1.02010201020102,0.31003100310031,0.9000900090009,3.06030603060306
"DESOUSA",3227,81.59,2.42,0.975000000000001,6.32,8.695
"LOUGHLIN",3227,95.91,0.28,0.77,1.74,1.3
"PREECE",3227,96.75,0.28,0.28,1.49,1.2
"ZURITA",3227,5.21,0.37,1.02,92.78,0.62
"NOLES",3226,90.3209679032097,5.17948205179482,0.14998500149985,2.6997300269973,1.64983501649835
"SHAMBLIN",3226,92.56,0.93,0.53,0.93,5.05
"TINGLEY",3226,94.5894589458946,1.98019801980198,0.62006200620062,1.05010501050105,1.76017601760176
"MISNER",3225,96.37,0.47,0.4,1.3,1.46
"STANDIFER",3225,60.2739726027397,33.2366763323668,0.3999600039996,1.08989101089891,4.999500049995
"DINARDO",3224,96.8003199680032,0.46995300469953,0.33996600339966,1.14988501149885,1.23987601239876
"DILLOW",3223,96.020397960204,1.14988501149885,0.24997500249975,0.83991600839916,1.73982601739826
"BULLIS",3222,92.52,0.56,0.5,2.73,3.69
"CARBALLO",3222,9,0.87,1.09,88.36,0.680000000000007
"EVERLY",3222,93.23,3.1,0.53,1.4,1.74
"CARLE",3221,87.8987898789879,3.29032903290329,0.43004300430043,3.97039703970397,4.41044104410441
"MULVIHILL",3221,96.34,0.25,0.37,1.77,1.27
"TINCHER",3221,97.14,0.34,0.22,0.47,1.83
"BIRDSALL",3220,95.12,1.4,0.81,0.9,1.77
"LUNDIN",3220,95.22,0.34,0.37,2.27,1.8
"BAINBRIDGE",3219,94.75,0.87,0.47,1.49,2.42
"SUTTLE",3219,77.54,17.52,0.31,1.55,3.08
"WIGHTMAN",3216,95.8,0.47,0.65,1.68,1.4
"BICKHAM",3215,46.31,49.33,0.16,1.93,2.27
"MOUNTAIN",3215,84.26,7.31,0.31,0.9,7.22
"MOWER",3215,96.02,0.75,0.37,0.93,1.93
"DURANTE",3214,83.1616838316168,5.1994800519948,2.67973202679732,6.24937506249375,2.70972902709729
"MCGRUDER",3213,18.67,76.88,0.140000000000001,0.78,3.53
"SWINFORD",3213,94.71,0.4,0.47,1.62,2.8
"VIVEROS",3213,5.44945505449455,0.18998100189981,0.18998100189981,93.6406359364064,0.52994700529947
"GRABLE",3212,86.7613238676132,8.52914708529147,0.4999500049995,2.3997600239976,1.80981901809819
"GWYNN",3212,63.14,32.38,0.339999999999996,2.18,1.96
"TAPLEY",3212,89.38,7.72,0.5,1,1.4
"WIEBE",3212,96.64,0.170000000000002,0.4,1.53,1.26
"DASH",3211,50.45,36.66,6.57,2.77,3.55
"STAGG",3211,84.951504849515,11.1188881111889,0.43995600439956,1.95980401959804,1.52984701529847
"CLUFF",3210,93.2193219321932,2.74027402740274,0.4000400040004,1.93019301930193,1.71017101710171
"HEITMAN",3210,96.82,0.16,0.65,1.03,1.34
"FORTUNA",3209,76.35,1.53,1.53,19.1,1.49000000000001
"HUERTAS",3209,6.32936706329367,0.64993500649935,2.76972302769723,89.6810318968103,0.56994300569943
"LINES",3209,92.68,1.65,0.56,3.65,1.46
"SLY",3209,78.72,11.87,5.08,1.93,2.4
"HALFORD",3208,90.71,4.93,0.25,1.96,2.15
"HELSEL",3207,97.35,0.19,0.37,0.59,1.5
"BICKNELL",3206,95.3704629537046,0.65993400659934,0.4999500049995,1.80981901809819,1.65983401659834
"BLAKEMAN",3206,94.5494549454945,1.15011501150115,0.37003700370037,2.09020902090209,1.84018401840184
"COLANGELO",3206,95.48,0.140000000000001,0.34,2.96,1.08
"OLNEY",3205,89.5410458954105,1.43985601439856,0.74992500749925,2.11978802119788,6.14938506149385
"QUINTON",3205,80.22,8.33,1.15,3.12,7.18
"ROTHROCK",3204,96.85,0.140000000000001,0.41,1.37,1.23
"HONE",3203,89.67,2.87,3.15,1.87,2.44
"PREJEAN",3203,71.71,25.38,0.145000000000003,1.62,1.145
"RENZ",3203,95.5,0.41,0.47,1.87,1.75
"FITZHUGH",3202,73.42,21.8,0.28,1.97,2.53
"LATOUR",3202,87.031296870313,4.58954104589541,0.68993100689931,4.21957804219578,3.46965303469653
"NEWBOLD",3202,84.1084108410841,11.1511151115112,0.47004700470047,2.62026202620262,1.65016501650165
"OSHIRO",3202,3.75,0.16,85.29,3.4,7.4
"SERIO",3202,93.2806719328067,0.43995600439956,0.86991300869913,3.71962803719628,1.68983101689831
"SONGER",3201,94.1,0.435000000000002,0.435000000000002,1.5,3.53
"CARDIN",3200,90.9309069093091,1.87981201879812,0.46995300469953,3.87961203879612,2.83971602839716
"GETER",3200,17.88,78.31,0.155000000000001,1.53,2.125
"ABBAS",3199,46.7,5.1,32.14,1.245,14.815
"BARBERA",3199,88.8311168883112,1.62983701629837,0.71992800719928,7.62923707629237,1.18988101189881
"BLAKESLEE",3199,96.34,0.25,0.25,1.44,1.72
"CAESAR",3199,32.2267773222678,58.1041895810419,1.37986201379862,3.90960903909609,4.37956204379562
"CAMPER",3198,60.85,34.27,0.44,1.97,2.47
"CANCEL",3197,12.6387361263874,1.5998400159984,0.83991600839916,84.011598840116,0.90990900909909
"DONELSON",3197,71.25,24.37,0.44,1.72,2.22
"DRISKILL",3197,94.2611477704459,1.12977404519096,0.379924015196961,1.37972405518896,2.8494301139772
"MCCLURG",3197,94.84,0.59,0.31,2.1,2.16
"BORRELLI",3195,94.12,0.38,0.229999999999997,3.44,1.83
"DONOGHUE",3195,97.37,0.53,0.204999999999998,1.03,0.864999999999998
"SHOAF",3195,93.77,2.63,0.469999999999999,1.53,1.6
"TINAJERO",3195,2.35,0.0450000000000017,0.0450000000000017,97.06,0.5
"ARZATE",3194,3.13,0.16,0,96.24,0.47
"KEESEE",3193,85.44,10.93,0.34,1.25,2.04
"PASLEY",3193,69.97,26.24,0.22,1.69,1.88
"STRODE",3192,79.82,15.48,0.6,1.72,2.38
"ACKERSON",3191,91.48,4.98,0.63,1.41,1.5
"BROCKINGTON",3191,12.97,84.11,0.0949999999999989,0.85,1.975
"JOWERS",3191,82.4882488248825,14.4214421442144,0.34003400340034,1.41014101410141,1.34013401340134
"MORELLO",3191,91.2208779122088,0.30996900309969,0.37996200379962,6.73932606739326,1.34986501349865
"TRANTHAM",3191,93.2,2.48,0.47,1.5,2.35
"BARCIA",3190,24.012401240124,0.97009700970097,1.41014101410141,72.5172517251725,1.09010901090109
"DINGER",3189,96.27,0.47,0.5,1.13,1.63
"LIPP",3189,95.52,0.41,0.31,2.16,1.6
"RIDINGS",3189,96.05,0.56,0.41,1.47,1.51
"CANAVAN",3188,96.17,0.38,0.47,2.13,0.85
"HAGANS",3188,41.25,53.01,0.35,2.26,3.13
"RANK",3188,95.2995299529953,0.5000500050005,0.94009400940094,1.41014101410141,1.85018501850185
"BECKMANN",3187,95.98,0.129999999999995,0.44,2.6,0.849999999999995
"LAMPLEY",3187,50.39,45.81,0.5,0.91,2.39
"BJORK",3186,95.970402959704,0.40995900409959,0.65993400659934,1.47985201479852,1.47985201479852
"RAYGOZA",3186,2.57,0.130000000000003,0.22,96.67,0.410000000000003
"SCHIRMER",3186,96.2,0.189999999999998,0.85,1.41,1.35
"LONGMIRE",3185,60.3560356035604,36.4236423642364,0.31003100310031,1.19011901190119,1.72017201720172
"SCHIAVONE",3185,95.51,0.0949999999999989,0.19,3.01,1.195
"BREUER",3184,95.959595959596,0.94009400940094,0.53005300530053,1.44014401440144,1.13011301130113
"LORE",3184,88.5788578857886,6.78067806780678,1.22012201220122,1.88018801880188,1.54015401540154
"STENSON",3184,71.64,24.53,0.5,1.29,2.04
"CALE",3183,88.82,6.47,0.88,2.23,1.6
"CHANNELL",3183,92.4,4.21,0.31,1.29,1.79
"CULBERSON",3183,67.23,28.97,0.16,1.13,2.51
"KOZIOL",3183,96.4703529647035,0.15998400159984,0.18998100189981,1.50984901509849,1.66983301669833
"TRADER",3183,79.39,16.37,0.31,1.51,2.42
"MUNDT",3181,96.2396239623962,0.22002200220022,1.19011901190119,1.41014101410141,0.94009400940094
"NEMEC",3180,96.54,0.299999999999997,0.299999999999997,1.51,1.35
"SICKLES",3180,92.17,2.64,0.47,1.48,3.24
"HOLL",3179,88.1011898810119,6.82931706829317,1.31986801319868,2.13978602139786,1.60983901609839
"STRIBLING",3179,57.66,38.91,0.35,1.35,1.73
"BERENS",3178,96.29,0.47,0.57,1.07,1.6
"DEEM",3177,96.51,0.47,0.47,0.85,1.7
"LEHNER",3177,96.4796479647965,0.28002800280028,0.44004400440044,1.7001700170017,1.1001100110011
"NAUMAN",3177,96.4003599640036,0.15998400159984,1.25987401259874,0.5999400059994,1.57984201579842
"BILLMAN",3176,95.84,0.72,0.57,1.42,1.45
"CASTELLI",3176,94.93,0.25,0.0499999999999972,3.62,1.15
"DAVY",3176,78.5821417858214,16.0583941605839,0.5999400059994,2.23977602239776,2.51974802519748
"GUMM",3176,91.06,4.91,0.66,1.51,1.86
"ORNDORFF",3176,94.8094809480948,2.14021402140214,0.28002800280028,1.54015401540154,1.23012301230123
"PELHAM",3175,80.03800380038,16.1916191619162,0.44004400440044,1.76017601760176,1.57015701570157
"SPOTTS",3174,91.010898910109,6.26937306269373,0.53994600539946,0.97990200979902,1.1998800119988
"JURGENS",3173,96.66,0.47,0.47,1.2,1.2
"SWORD",3173,93.1093109310931,2.58025802580258,0.47004700470047,1.39013901390139,2.45024502450245
"ADORNO",3171,15.01,1.1,0.174999999999997,82.97,0.744999999999997
"BOUGHTON",3171,89.03,7.22,0.54,1.92,1.29
"GORRELL",3171,90.26,6.81,0.38,0.6,1.95
"BOBADILLA",3170,3.85,0.0749999999999957,5.84,89.34,0.894999999999996
"MAUER",3169,95.68,0.28,0.38,1.89,1.77
"MOLINE",3169,87.4787478747875,3.47034703470347,0.82008200820082,6.15061506150615,2.08020802080208
"GUAY",3168,95.99,0.95,0.66,1.2,1.2
"BARANOWSKI",3167,97.82,0.0650000000000048,0.25,0.98,0.885000000000005
"GUTIERRES",3167,4.1,0.174999999999997,0.35,94.98,0.394999999999997
"HOLSINGER",3167,96.7403259674033,0.50994900509949,0.34996500349965,0.50994900509949,1.88981101889811
"BEVERIDGE",3166,95.42,1.17,0.51,1.61,1.29
"MARABLE",3166,31.5868413158684,63.7036296370363,0.53994600539946,1.35986401359864,2.80971902809719
"BERKEY",3165,97.2402759724028,0.21997800219978,0.31996800319968,1.13988601139886,1.07989201079892
"LAMOTHE",3165,74.19,19.81,0.47,2.43,3.1
"SPITLER",3165,97.31,0.204999999999998,0.51,1.14,0.834999999999998
"CARBAUGH",3164,96.3603639636036,0.34996500349965,0.53994600539946,1.44985501449855,1.2998700129987
"HOOPES",3164,97.0697069706971,0.44004400440044,0.35003500350035,1.07010701070107,1.07010701070107
"MILFORD",3164,79.99,15.27,0.54,1.04,3.16
"WILKEN",3164,95.1904809519048,1.95980401959804,0.21997800219978,1.10988901109889,1.51984801519848
"BINGAMAN",3163,96.969696969697,0.47004700470047,0.47004700470047,0.79007900790079,1.3001300130013
"CRIPPEN",3163,80.21,13.15,0.54,2.78,3.32
"OMAN",3162,93.5406459354065,1.67983201679832,1.00989901009899,1.86981301869813,1.8998100189981
"SHOCK",3162,95.1995199519952,0.54005400540054,0.6000600060006,1.64016401640164,2.02020202020202
"YARNELL",3162,95.6904309569043,0.88991100889911,0.34996500349965,0.97990200979902,2.08979102089791
"KOST",3161,96.11,0.240000000000002,0.240000000000002,1.23,2.18
"WETHINGTON",3161,92.47,3.7,0.73,1.3,1.8
"BIRNBAUM",3160,95.66,0.225000000000001,0.82,1.52,1.775
"EUGENE",3160,12.2812281228123,77.3777377737774,0.66006600660066,2.75027502750275,6.93069306930693
"FORAN",3160,95.4495449544955,0.92009200920092,1.04010401040104,1.77017701770177,0.82008200820082
"GAUDETTE",3160,96.71,0.22,0.38,1.04,1.65
"SPIELMAN",3160,96.01,0.54,0.57,1.23,1.65
"STARKE",3160,81.33,15.57,0.38,1.01,1.71
"DOCTOR",3159,42.42,39.41,8.96,1.77,7.44
"HEDGEPETH",3159,59.32,33.81,0.19,1.3,5.38
"HIGUERA",3159,12.66,0.269999999999996,0.269999999999996,84.14,2.66
"HUSSEIN",3159,36.21,23.74,10.92,1.555,27.575
"NAVARRETTE",3159,10.7310731073107,0.47004700470047,0.32003200320032,86.8986898689869,1.58015801580158
"RANSON",3159,63.15,31.69,0.57,1.84,2.75
"BROUGH",3158,95.3004699530047,0.50994900509949,0.50994900509949,1.45985401459854,2.21977802219778
"COOKSON",3158,92.6685337067414,1.58031606321264,0.440088017603521,1.74034806961392,3.57071414282857
"GOWEN",3157,93.8106189381062,2.33976602339766,0.50994900509949,1.61983801619838,1.71982801719828
"MENDONCA",3157,79.6379637963796,1.84018401840184,4.43044304430443,4.75047504750475,9.34093409340934
"PROVENCHER",3157,96.45,0.29,0.82,1.05,1.39
"RUTZ",3157,74.15,0.299999999999997,0.299999999999997,23.66,1.59
"SUMMER",3157,87.1012898710129,8.67913208679132,0.66993300669933,1.32986701329867,2.21977802219778
"READER",3156,89.6310368963104,7.15928407159284,0.50994900509949,1.23987601239876,1.45985401459854
"DOUD",3155,93.6993699369937,0.82008200820082,0.44004400440044,1.84018401840184,3.2003200320032
"RAVEN",3155,71.95,21.24,0.54,2.85,3.42
"BITTLE",3154,81.2381238123812,14.8114811481148,0.63006300630063,0.95009500950095,2.37023702370237
"GUNNING",3154,91.1291129112911,4.57045704570457,0.98009800980098,1.9001900190019,1.42014201420142
"PEACHEY",3154,95.0690138027606,2.31046209241848,0.19003800760152,1.2002400480096,1.23024604920984
"TORIBIO",3154,3.74,0.25,9.16,83.07,3.78
"VALE",3153,64.5164516451645,2.95029502950295,2.85028502850285,26.6726672667267,3.01030103010301
"AKER",3152,90.1,6.09,0.44,1.4,1.97
"DAMORE",3152,96.13,0.305,0.54,1.9,1.125
"HARNISH",3152,97.3097309730973,0.29002900290029,0.44004400440044,0.98009800980098,0.98009800980098
"MARANO",3152,92.48,0.82,0.54,4.82,1.34
"BULGER",3151,86.7,10.25,0.140000000000001,1.94,0.970000000000001
"PASILLAS",3151,2.86,0.130000000000003,0.130000000000003,96.22,0.66
"THROCKMORTON",3151,94.76,3.08,0.239999999999995,0.54,1.37999999999999
"UTZ",3151,96.22,0.86,0.67,1.05,1.2
"VANZANT",3151,81.2637472505499,14.377124575085,0.319936012797441,1.42971405718856,2.60947810437912
"CORPUS",3150,10.981098109811,0.89008900890089,25.6225622562256,59.1459145914591,3.36033603360336
"HOLMGREN",3150,97.43,0.41,0.174999999999997,0.73,1.255
"LONGLEY",3148,90.7990799079908,4.54045404540454,0.38003800380038,1.49014901490149,2.79027902790279
"CARSTENS",3147,95.93,0.35,0.7,1.49,1.53
"LINE",3147,92.63,1.84,1.97,1.46,2.1
"PERCIVAL",3147,87.64,6.26,1.18,2.51,2.41
"WETMORE",3147,96.35,0.22,0.38,1.46,1.59
"AYOTTE",3146,95.9395939593959,0.22002200220022,0.73007300730073,1.27012701270127,1.84018401840184
"BATRES",3146,6.42,0.54,0.155000000000001,92.09,0.795000000000001
"PIPES",3146,82.8617138286171,13.4486551344866,0.40995900409959,1.77982201779822,1.4998500149985
"ALPERT",3145,97.14,0.204999999999998,0.7,0.99,0.964999999999998
"LUDWICK",3145,95.26,0.48,0.7,0.86,2.7
"PICK",3144,95.000499950005,1.01989801019898,1.01989801019898,1.36986301369863,1.58984101589841
"CARLOCK",3143,81.45,14.95,0.350000000000001,1.56,1.69
"EDMUNDSON",3143,79.26,16.58,0.41,1.37,2.38
"FEINSTEIN",3143,97.58,0.160000000000004,0.38,1.02,0.860000000000004
"DAHLGREN",3142,96.85,0.210000000000001,0.51,1.46,0.970000000000001
"KROUSE",3142,97.1,0.64,0.51,0.41,1.34
"SASAKI",3142,6.08,0.189999999999998,83.8,2.2,7.73
"LIEB",3141,93.3193319331933,0.25002500250025,0.22002200220022,1.72017201720172,4.49044904490449
"LONDONO",3141,8.05080508050805,0.38003800380038,0.22002200220022,90.3990399039904,0.95009500950095
"OLOUGHLIN",3141,93.7,1.91,0.38,2.1,1.91
"WARDLAW",3141,63.13,33.05,0.189999999999998,1.59,2.04
"CASTELLO",3140,66.0866086608661,3.47034703470347,1.08010801080108,26.2726272627263,3.09030903090309
"LINEBERRY",3140,96.18,1.59,0.16,0.7,1.37
"MILSTEAD",3140,90.6309369063094,5.44945505449455,0.34996500349965,2.38976102389761,1.17988201179882
"PARE",3139,92.74,2.1,2.23,1.66,1.27
"PARMENTER",3139,96.3303669633037,0.82991700829917,0.28997100289971,1.14988501149885,1.3998600139986
"RIFFE",3139,95.19,1.91,0.35,1.21,1.34
"SITTON",3139,89.2,6.21,0.64,2.07,1.88
"CALABRO",3138,95.7,0.0649999999999977,0.92,2.23,1.085
"DELCASTILLO",3138,15.011501150115,0.7000700070007,11.5011501150115,71.8071807180718,0.98009800980098
"MANOR",3138,75.59,19.85,0.54,1.69,2.33
"TARIN",3138,11.06,0.51,5.32,79.7,3.41
"BOAZ",3137,87.12,5.74,1.75,2.84,2.55
"CELESTINE",3137,4.14,87.34,0.51,1.82,6.19
"CHAMBLEE",3137,76.7,18.9,0.41,1.53,2.46
"COCO",3137,87.12,5.8,0.61,4.78,1.69
"ELKIN",3137,95.47,0.61,0.285000000000004,2.2,1.435
"GRILL",3137,96.43,0.92,0.16,1.12,1.37
"NICK",3136,78.32,10.84,0.92,2.81,7.11
"MEEKINS",3135,55.6955695569557,40.7040704070407,0.19001900190019,1.4001400140014,2.01020102010201
"MOISE",3135,29.86,58.21,0.369999999999997,3.73,7.83
"STORK",3135,96.08,1.34,0.41,1.21,0.96
"DEVERS",3134,79.71,14.45,0.51,3.86,1.47
"JUN",3134,5.9,0.144999999999996,92.15,0.32,1.485
"BRICK",3133,95.1104889511049,1.43985601439856,0.50994900509949,1.78982101789821,1.14988501149885
"KEGLEY",3133,95.85,1.18,0.29,0.86,1.82
"BIGGERSTAFF",3132,95.21,0.89,0.42,1.82,1.66
"KERSTEN",3132,97.57,0.150000000000006,0.57,0.99,0.720000000000006
"LOBATO",3132,19.28,0.38,0.42,77.81,2.11
"JAYNE",3131,93.3806619338066,0.66993300669933,1.75982401759824,1.62983701629837,2.55974402559744
"NASSER",3131,75.18,2.33,4.06,5.62,12.81
"SOUTHALL",3131,58.8,37.59,0.19,0.99,2.43
"EADDY",3130,24.5,72.4,0.19,0.83,2.08
